predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
353,Joshua Kelley,RB,-4.8801,0.2,619
354,Jameson Williams,WR,-4.9013,183.2,67
355,Robbie Chosen,WR,-4.9187,1.0,600
356,Xavier Gipson,WR,-4.927,11.4,471
357,Ian Thomas,TE,-4.9481,2.2,567
358,Ryan Tannehill,QB,-4.9524,,
359,Stone Smartt,TE,-4.9726,26.8,388
360,Jalin Hyatt,WR,-4.9918,10.2,484
361,Josh Whyle,TE,-5.0025,46.8,324
362,Laviska Shenault Jr.,WR,-5.0029,8.2,502
363,Marcedes Lewis,TE,-5.0416,0.7,607
364,Jake Bobo,WR,-5.0649,23.2,412
365,Parris Campbell,WR,-5.0803,12.0,469
366,Josiah Deguara,TE,-5.0902,2.9,559
367,Jeremy Ruckert,TE,-5.0906,19.5,430
368,Luke Farrell,TE,-5.1043,12.7,461
369,Mac Jones,QB,-5.12,104.08,193
370,Lucas Krull,TE,-5.1219,24.7,405
371,Treylon Burks,WR,-5.125,5.5,527
372,Davis Allen,TE,-5.1498,6.9,513
373,Kadarius Toney,WR,-5.1661,-2.4,671
374,Peyton Hendershot,TE,-5.1663,7.6,509
375,Albert Okwuegbunam,TE,-5.2013,,
376,Mitchell Wilcox,TE,-5.215,,
377,Calvin Austin III,WR,-5.216,100.8,201
378,Charlie Kolar,TE,-5.217,23.8,410
379,Isaiah McKenzie,WR,-5.2333,,
380,Randall Cobb,WR,-5.2354,,
381,Richie James,WR,-5.2458,,
382,Brandon Johnson,WR,-5.2833,1.4,583
383,Cole Turner,TE,-5.2914,,
384,Quez Watkins,WR,-5.3069,,
385,Zamir White,RB,-5.3149,26.3,395
386,Aaron Rodgers,QB,-5.3303,267.58,21
387,Jamal Agnew,WR,-5.3363,,
388,Stephen Sullivan,TE,-5.3365,0.0,652
389,Devin Duvernay,WR,-5.3393,13.7,449
390,Trenton Irwin,WR,-5.3412,3.0,556
391,J.K. Dobbins,RB,-5.3455,175.8,76
392,Eric Saubert,TE,-5.353,21.2,420
393,Lawrence Cager,TE,-5.3547,,
394,Darnell Washington,TE,-5.3704,35.5,358
395,Chase Brown,RB,-5.3733,228.0,35
396,Jake Browning,QB,-5.3773,-0.2,666
397,Jamison Crowder,WR,-5.3962,21.7,417
398,Brandon Powell,WR,-5.4019,10.6,479
399,Matt Breida,RB,-5.4115,,
400,Teagan Quitoriano,TE,-5.4159,,
401,Jack Stoll,TE,-5.4324,2.0,572
402,Andrei Iosivas,WR,-5.4421,101.9,198
403,Skyy Moore,WR,-5.4544,0.0,642
404,James Mitchell,TE,-5.4554,,
405,Tyler Kroft,TE,-5.4755,,
406,Brycen Hopkins,TE,-5.481,,
407,Ko Kieft,TE,-5.483,0.0,634
408,DeAndre Carter,WR,-5.4945,9.7,489
409,Nick Vannett,TE,-5.4997,40.0,347
410,Ross Dwelley,TE,-5.5146,1.0,601
411,Payne Durham,TE,-5.5163,29.0,379
412,Kyle Juszczyk,RB,-5.5175,48.1,317
413,Daniel Jones,QB,-5.5235,142.3,118
414,Brenton Strange,TE,-5.5348,71.1,267
415,Ben Sims,TE,-5.5385,6.2,518
416,Ty Johnson,RB,-5.5452,82.7,248
417,Ameer Abdullah,RB,-5.5562,105.2,190
418,Quintin Morris,TE,-5.575,12.1,468
419,Blake Bell,TE,-5.6064,,
420,KaVontae Turpin,WR,-5.6206,88.7,233
421,Grant Calcaterra,TE,-5.6226,47.8,322
422,Terrace Marshall Jr.,WR,-5.6243,5.6,526
423,Stephen Anderson,TE,-5.6279,,
424,Chris Manhertz,TE,-5.6413,10.5,481
425,Jordan Mason,RB,-5.6441,109.5,175
426,Julian Hill,TE,-5.6526,16.0,439
427,Parker Hesse,TE,-5.6529,,
428,Byron Pringle,WR,-5.66,,
429,David Bell,WR,-5.6653,4.2,543
430,Tre' McKitty,TE,-5.6737,,
431,Boston Scott,RB,-5.6779,,
432,Giovanni Ricci,TE,-5.6968,,
433,Cedric Tillman,WR,-5.7192,65.9,278
434,Nate Adkins,TE,-5.7213,36.5,355
435,Nick Muse,TE,-5.7242,,
436,Charlie Woerner,TE,-5.7331,8.1,503
437,Marquise Goodwin,WR,-5.7417,,
438,Royce Freeman,RB,-5.759,,
439,Sterling Shepard,WR,-5.7718,64.3,281
440,Trevon Wesco,TE,-5.7758,,
441,Jesper Horsted,TE,-5.7797,,
442,Matthew Wright,K,-5.7879,55.0,299
443,Scott Miller,WR,-5.7883,9.4,492
444,Darrell Daniels,TE,-5.8071,,
445,Jalen Tolbert,WR,-5.8075,127.5,138
446,Ray-Ray McCloud,WR,-5.8154,109.5,174
447,Cole Fotheringham,TE,-5.8183,,
448,Tyquan Thornton,WR,-5.8216,6.7,514
449,Sean McKeon,TE,-5.8285,,
450,Deonte Harty,WR,-5.8398,0.0,624
451,Jalen Reagor,WR,-5.8426,11.2,476
452,Kendre Miller,RB,-5.8563,26.6,392
453,Kevin Rader,TE,-5.8646,,
454,Kenny Yeboah,TE,-5.8799,13.2,457
455,John FitzPatrick,TE,-5.8811,0.7,609
456,Hunter Long,TE,-5.8828,15.5,441
457,Brayden Willis,TE,-5.883,0.0,651
458,David Wells,TE,-5.883,,
459,Henry Pearson,TE,-5.883,,
460,Rod Williams,TE,-5.883,0.0,638
461,Pierre Strong,RB,-5.8989,28.2,384
462,Tucker Fisk,TE,-5.8996,7.4,510
463,Ben Skowronek,WR,-5.9004,9.4,493
464,Trent Sherfield,WR,-5.9045,18.3,434
465,Zach Pascal,WR,-5.9106,0.0,640
466,Joshua Dobbs,QB,-5.9213,32.84,362
467,Bo Melton,WR,-5.9728,18.5,433
468,Desmond Ridder,QB,-5.9742,23.92,408
469,Chris Rodriguez Jr.,RB,-5.9979,31.0,368
470,KhaDarel Hodge,WR,-6.0009,22.6,413
471,Tyler Scott,WR,-6.0138,1.0,604
472,Derius Davis,WR,-6.0214,33.6,360
473,Gardner Minshew,QB,-6.073,106.32,185
474,D'Ernest Johnson,RB,-6.0875,29.9,374
475,John Metchie III,WR,-6.1108,43.4,338
476,Connor Heyward,RB,-6.1181,13.0,460
477,Parker Washington,WR,-6.1204,81.0,250
478,Lil'Jordan Humphrey,WR,-6.1224,48.8,315
479,Damiere Byrd,WR,-6.1448,,
480,Rashaad Penny,RB,-6.1465,,
481,Ronnie Bell,WR,-6.1506,3.2,551
482,Malik Heath,WR,-6.1643,26.7,391
483,Salvon Ahmed,RB,-6.1852,,
484,Dyami Brown,WR,-6.2001,52.4,306
